message,label
im boat still mom check yo im half nake,0
bank granit issu strongbuy explo pick member nasdaq symbol cdgt per,1
r give second chanc rahul dengra,0
play smash bro ltgt religi,0
privat account statement show unredeem point call identifi code expir,1
g say never answer text confirmdeni,0
lost pound help,1
okey dokey iû÷ll bit sort stuff,0
come peopl,0
wah lucki man save money hee,0
much better thank lol,0
madamregret disturbancemight receiv refer check dlf premaricakindli informedrgdsrakheshkerala,0
im come home dinner,0
ok,0
ì decid faster co si go home liao,0
hi mate rv u hav nice hol messag say hello coz havenåõt sent u age start drive stay roadsrvx,0
amaz rearrang letter give mean dormitori dirti room astronom moon starer eye see elect result lie let recount motherinlaw woman hitler eleven plu two twelv plu one amaz,0
good morn plz call sir,0
k actual guy meet sunoco howard right way,0
new theori argument win situat lose person dont argu ur friend kick amp say im alway correct,0
oh yeah diet flew window,0
watch cartoon listen music amp eve go templ amp church u,0
india win level seri mean record,0
armand say get ass epsilon,0
tell said eat shit,0
oh phone phone disconnect,0
plea call custom servic repr freephon ampm guarant å£ cash å£ prize,1
hey sweet wonder moment might come want send file someon wont go yahoo connect suck rememb set page go download format disc could tell know way download big file download stuff directli internet help would great prey tea kiss,0
puriti friendship two smile read forward messageit smile see name gud evng,0
heard u call night knicker make beg like u last time xx luv nikiyunet,1
place man,0
welp appar retir,0
haha money leh later got go tuition haha look empti slot drive lesson,0
aiyar hard type u later free tell call n scold n tell u,0
k ill call im close,0
wat late still earli mah juz go dinner lor aiya dunno,0
yup paragon havent decid whether cut yet hee,0
watch tv got new job,0
privat account statement show unredeem bonu point claim call identifi code expir,1
great run ttyl,0
hello love goe day wish well fine babe hope find job prospect miss boytoy tea kiss,0
zoe hit im fuck shitin il defo tri hardest cum morow luv u million lekdog,0
text way cup stop work bu,0
congratul ore mo owo wa enjoy wish mani happi moment fro wherev go,0
good morn im suffer fever dysentri abl come offic today,0
tell pa pain de,0
got seventeen pound seven hundr ml ûò hope ok,0
know complain num onlybettr directli go bsnl offc nd appli,0
kate jackson rec center ish right,0
kkcongratul,0
whatsup dont u want sleep,0
lost å£ help,1
japan proverb one u none itu must indian version one let none itleav final kerala version one stop none make strike,0
search happi main sourc unhappi accept life way come u find happi everi moment u live,0
faith make thing possiblehop make thing worklov make thing beautifulmay three christmasmerri christma,0
ok c ya,0
im class holla later,0
buy space invad chanc win orig arcad game consol press game arcad std wap charg see ocoukgam term set purcha,1
hou water dock boat roll newscast dabbl jazz flute behind wheel,0
oh babi hou come dont new pictur facebook,0
thx well month,0
gud mrng dear nice day,0
yar want scold u yest late alreadi got zhong se qing u ask b ask ill go w u lor n u still act real,0
say slowli godi love amp need youclean heart bloodsend ten special peopl amp u c miracl tomorrow itplspl,0
ye princess want catch big strong hand,0
wait know wesley town bet hella drug,0
problem renew ill right away dont know detail,0
part dont initi dont understand,0
moon come color dream star make music sm give warm peac sleep good night,0
stand away doesnt heart ach without dont wonder dont crave,0
urgent import inform user today lucki day find log onto httpwwwurawinnercom fantast surpri await,1
oz guy kinda flaki one friend interest pick ltgt worth tonight possibl,0
wait machan call free,0
honeyb said im sweetest world god laugh amp said waitu havnt met person read msg moral even god crack joke gmgngegn,0
ga station go,0
ye ammaelif take lot turn sit tri hold steer,0
hmm shall bring bottl wine keep us amu joke ill still bring bottl red white see tomorrow,0
sorri miss babe late slept hope enjoy drive lesson boytoy miss tea kiss,0
ok thanx gd nite ì,0
polyphon tone ur mob everi week txt pt st tone free get txtin tell ur friend ptone repli hl info,1
noth realli make sure everybodi speed,0
wish hold tightli make see import much mean much need life,0
lol would mom would fit tell whole famili crazi terribl,0
good well find way,0
iåõm cool ta luv vtire cau doin load plan wk got social servic inspect nurseri take care spk sn x,0
sorri light turn green meant anoth friend want ltgt worth may around,0
que pase un buen tiempo someth like,0
watch telugu moviewat abt u,0
mm ask come enough,0
winner valu network custom select receivea å£ prize reward claim call claim code kl valid hour,1
yar lor keep rain non stop u wan go elsewh,0
otherwi part time job natuit,0
good word word may leav u dismay mani time,0
oooh bed ridden ey think,0
oclock mine bash flat plan,0
gsoh good spam ladiesu could b male gigolo join uk fastest grow men club repli oncal mjzgroup stop repli stop msgå£rcvd,1
gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,0
im good think,0
one day crab run sea shoreth wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox follow ur footprint catch clear frndsship never let u dwn gud nyt,0
dunno ju say go lido time,0
free msg get gnarl barkley crazi rington total free repli go messag right,1
alway say welp,0
get offici england poli rington colour flag yer mobil tonight game text tone flag optout txt eng stop box wwx å£,1
gud mrng dear hav nice day,0
also thk fast xy suggest one u dun wan ok go rain leh got gd,0
fran decid go n e way im complet broke knacker got bout c u mrw love janx ps dad fone credit,0
messag free welcom new improv sex dog club unsubscrib servic repli stop msgsp,1
free st week nokia tone ur mobil everi week txt nokia get txting tell ur mate wwwgetzedcouk pobox wwq normpton,1
cool like swim pool jacuzzi hou,0
cour guess god got hold right,0
oh get even u u,0
class,0
